kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_depth
Kepler-1116 b,CONFIRMED,CANDIDATE,41.6977582,5.513,684.8
Kepler-1117 b,CONFIRMED,CANDIDATE,4.79029482,2.7219,142.0
Kepler-1118 b,CONFIRMED,CANDIDATE,38.6715843,5.532,599.3
Kepler-1119 b,CONFIRMED,CANDIDATE,8.32651854,5.483,267.9
Kepler-112 b,CONFIRMED,CANDIDATE,8.408878137,3.4967,798.9
Kepler-112 c,CONFIRMED,CANDIDATE,28.5742692,4.9427,824.9
Kepler-1120 b,CONFIRMED,CANDIDATE,2.949029106,2.0311,358.3
Kepler-1121 b,CONFIRMED,CANDIDATE,13.15140223,5.439,97.8
Kepler-1122 b,CONFIRMED,CANDIDATE,42.1918331,7.083,488.7
Kepler-1123 b,CONFIRMED,CANDIDATE,4.3394569,2.3652,337.4
Kepler-1124 b,CONFIRMED,CANDIDATE,2.852348262,0.7051,1402.9
Kepler-1125 b,CONFIRMED,CANDIDATE,17.6700291,6.693,348.4
Kepler-1126 b,CONFIRMED,CANDIDATE,108.593113,7.989,338.2
Kepler-1126 c,CONFIRMED,CANDIDATE,199.66876,8.996,251.9
Kepler-1127 b,CONFIRMED,CANDIDATE,5.1233204,2.7466,286.2
Kepler-1128 b,CONFIRMED,CANDIDATE,61.6174528,3.816,1350.7
Kepler-1129 b,CONFIRMED,CANDIDATE,24.3398202,3.891,777.3
Kepler-1129 c,CONFIRMED,CANDIDATE,76.5369531,5.574,652.2
Kepler-113 b,CONFIRMED,CANDIDATE,4.75400072,2.5394,748.7
Kepler-113 c,CONFIRMED,CANDIDATE,8.925079516,2.6766,977.5
Kepler-1130 b,CONFIRMED,CANDIDATE,5.45298742,2.1328,86.0
Kepler-1130 c,CONFIRMED,CANDIDATE,3.26662733,2.056,59.9
Kepler-1130 d,CONFIRMED,CANDIDATE,4.27226421,2.113,48.9
Kepler-1131 b,CONFIRMED,CANDIDATE,3.53232429,2.765,224.2
Kepler-1132 b,CONFIRMED,CANDIDATE,62.8917493,6.831,791.0
